Optimal Path Found. Time elapsed is 12.544470 seconds. 
Node ID: 1118396319 	 Lat: 41.354680  | Long: 2.115624  | Distance: 6855.188995 
 
Node ID: 1500119409 	 Lat: 41.354690  | Long: 2.115522  | Distance: 6863.803770 
 
Node ID: 1066620308 	 Lat: 41.354659  | Long: 2.115520  | Distance: 6867.211286 
 
Node ID: 1066620307 	 Lat: 41.350512  | Long: 2.115081  | Distance: 7329.807810 
 
Node ID: 1066620306 	 Lat: 41.349992  | Long: 2.115012  | Distance: 7387.954332 
 
Node ID: 1118396240 	 Lat: 41.348365  | Long: 2.114837  | Distance: 7569.367938 
 
Node ID: 1066620305 	 Lat: 41.344659  | Long: 2.114486  | Distance: 7982.514734 
 
Node ID: 1066620303 	 Lat: 41.344045  | Long: 2.114463  | Distance: 8050.882810 
 
Node ID: 1066620302 	 Lat: 41.341321  | Long: 2.114165  | Distance: 8354.718769 
 
Node ID: 1066620300 	 Lat: 41.340773  | Long: 2.114085  | Distance: 8416.047005 
 
Node ID: 1066620299 	 Lat: 41.340222  | Long: 2.113781  | Distance: 8482.344752 
 
Node ID: 1066620298 	 Lat: 41.339659  | Long: 2.113374  | Distance: 8553.629338 
 
Node ID: 1066620297 	 Lat: 41.339194  | Long: 2.112916  | Distance: 8617.975073 
 
Node ID: 1066620294 	 Lat: 41.338788  | Long: 2.112424  | Distance: 8678.988084 
 
Node ID: 1066620290 	 Lat: 41.338386  | Long: 2.111776  | Distance: 8749.179944 
 
Node ID: 1066620289 	 Lat: 41.338002  | Long: 2.110916  | Distance: 8832.695019 
 
Node ID: 1066620285 	 Lat: 41.337704  | Long: 2.110066  | Distance: 8910.946189 
 
Node ID: 1066620278 	 Lat: 41.336838  | Long: 2.107755  | Distance: 9126.636345 
 
Node ID: 1066620277 	 Lat: 41.335865  | Long: 2.104681  | Distance: 9405.142146 
 
Node ID: 1066620271 	 Lat: 41.335533  | Long: 2.103687  | Distance: 9495.968216 
 
Node ID: 1066620653 	 Lat: 41.334614  | Long: 2.100949  | Distance: 9746.358323 
 
Node ID: 1066620743 	 Lat: 41.333605  | Long: 2.097915  | Distance: 10023.445817 
 
Node ID: 1066620742 	 Lat: 41.331944  | Long: 2.093316  | Distance: 10449.573372 
 
Node ID: 1066620735 	 Lat: 41.330927  | Long: 2.090376  | Distance: 10719.802286 
 
Node ID: 1066620733 	 Lat: 41.329923  | Long: 2.087466  | Distance: 10987.248070 
 
Node ID: 1066620731 	 Lat: 41.329488  | Long: 2.086157  | Distance: 11106.769338 
 
Node ID: 1066620730 	 Lat: 41.329061  | Long: 2.084912  | Distance: 11221.025181 
 
Node ID: 1066620728 	 Lat: 41.328043  | Long: 2.081927  | Distance: 11494.756469 
 
Node ID: 1118396194 	 Lat: 41.327472  | Long: 2.080270  | Distance: 11647.026674 
 
Node ID: 1066620726 	 Lat: 41.326858  | Long: 2.078501  | Distance: 11809.779863 
 
Node ID: 1066620723 	 Lat: 41.324767  | Long: 2.072316  | Distance: 12376.114177 
 
Node ID: 1066620721 	 Lat: 41.323276  | Long: 2.068143  | Distance: 12762.032423 
 
Node ID: 1066620716 	 Lat: 41.321954  | Long: 2.064281  | Distance: 13116.463879 
 
Node ID: 1066620715 	 Lat: 41.320190  | Long: 2.059201  | Distance: 13583.880177 
 
Node ID: 1066620713 	 Lat: 41.319739  | Long: 2.057934  | Distance: 13700.905616 
 
Node ID: 1066620708 	 Lat: 41.319429  | Long: 2.057114  | Distance: 13777.641202 
 
Node ID: 1066620704 	 Lat: 41.319368  | Long: 2.056883  | Distance: 13798.040249 
 
Node ID: 1066620702 	 Lat: 41.318155  | Long: 2.053300  | Distance: 14126.285145 
 
